Order_ID,Order_Date,Customer_ID,Customer_Name,Industry,Country,Region,Product_Category,Product,Application,Sales_Channel,Quantity,Unit_Price,Discount_Pct,Revenue,Cost,Gross_Profit,Order_Status,Delivery_Days,Warranty_Status,Service_Request,Service_Type,Customer_Rating,Sales_Rep
KF-10001,2024-05-10,CUST-1188,Prime Commercial Group,Commercial,UK,Europe,Fire Detection,Manual Call Point,Commercial Building,Direct,21,6072.64,5,121149.17,74420.49,46728.68,Delivered,6.0,Expired,No,Unknown,1.0,Priya Sharma
KF-10002,2025-07-16,CUST-1018,NextGrid Energy,Marine,India,Asia Pacific,Fire Suppression,Clean Agent System,Engine Room,Direct,27,28987.16,5,743520.65,571352.67,172167.98,Delivered,7.0,Not Applicable,No,Unknown,4.0,Priya Sharma
KF-10003,2024-03-21,CUST-1004,Vertex Industrial,Power Generation,Singapore,Asia Pacific,Fire Detection,Addressable Fire Alarm Panel,Turbine Hall,Direct,20,6825.46,10,122858.28,76369.63,46488.65,Delivered,44.0,Expired,No,Unknown,3.0,Robert Taylor
KF-10004,2025-12-20,CUST-1217,BlueWave Engineering,BESS,Japan,Asia Pacific,Gas Ignition Controls,Flame Detector,Battery Energy Storage Room,Direct,14,8378.68,0,117301.52,77193.7,40107.82,Processing,0.0,Active,No,Unknown,0.0,Robert Taylor
KF-10005,2026-02-11,CUST-1201,Eastern Process Solutions,BESS,USA,North America,Gas Ignition Controls,Gas Ignition Controller,Battery Energy Storage Room,OEM Partner,8,7341.04,10,52855.49,40439.99,12415.5,On Hold,0.0,Expired,No,Unknown,0.0,Sarah Wilson
KF-10006,2024-01-05,CUST-1042,Oceanic Marine Ltd,Commercial,USA,North America,Fire Detection,Manual Call Point,Commercial Building,System Integrator,3,2968.28,15,7569.11,5932.21,1636.9,Delivered,18.0,Active,No,Unknown,4.0,Ananya Rao
KF-10007,2026-03-06,CUST-1134,NextGrid Energy,Oil & Gas,Japan,Asia Pacific,Fire Suppression,Water Mist System,Process Area,Distributor,5,27968.08,7,130051.57,97115.8,32935.77,On Hold,0.0,Expired,No,Unknown,0.0,Emily Davis
KF-10008,2025-03-31,CUST-1059,Vertex Industrial,Manufacturing,Germany,Europe,Fire Detection,Addressable Fire Alarm Panel,Production Floor,OEM Partner,30,6355.31,10,171593.37,99810.46,71782.91,Delivered,41.0,Expired,No,Unknown,3.0,Ananya Rao
KF-10009,2024-04-22,CUST-1129,Oceanic Marine Ltd,Power Generation,Japan,Asia Pacific,Fire Suppression,Clean Agent System,Turbine Hall,Distributor,20,24346.36,5,462580.84,272392.05,190188.79,On Hold,0.0,Active,Yes,Preventive Maintenance,0.0,Sarah Wilson
KF-10010,2026-06-25,CUST-1070,Oceanic Marine Ltd,BESS,Germany,Europe,Gas Ignition Controls,Ignition Module,Battery Energy Storage Room,OEM Partner,23,11181.77,5,244321.67,199371.75,44949.92,Processing,0.0,Expired,Yes,Inspection,0.0,Priya Sharma
